id;name;phone;dob;role
1;pivot consequently kit;690.420.5406 x357;2025-04-02;wonderfully eventually
2;pish amid unselfish;415-790-7513 x0819;2025-04-02;innocent drum
3;crazy;(413) 363-0268 x5259;2025-04-02;redesign
4;by yum;1-901-265-8767 x873;2025-04-02;broken trusty
5;though;242-727-3646;2025-04-02;yuck
6;pro;229-409-2678 x20810;2025-04-02;curry
7;oxidize;987-391-9283 x5894;2025-04-02;rationalize yet
8;roughly;297.961.3178 x872;2025-04-02;huzzah pish
9;likely psst;770.868.1088 x9872;2025-04-02;innovate
10;husk with;1-703-610-7248;2025-04-02;well hmph
